	cw	cysr	jswe	ssr	scw	swra	sw	can	fr	cswj	amh	asw	bjsw	pw	ccq	jgsw	jsp	swg	swhc	ijsw
cw	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0
cysr	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0
jswe	1	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0
ssr	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	0	1	1	0	0
scw	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	0
swra	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
sw	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1
can	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
fr	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
cswj	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
amh	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
asw	0	0	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0
bjsw	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0
pw	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0
ccq	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
jgsw	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
jsp	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
swg	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0
swhc	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0
ijsw	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
