	AMH	ASW	BJSW	CAN	CCQ	CW	CYSR	CSWJ	FR	IJSW	JGSW	JSP	JSWE	PW	SCW	SSR	SW	SWG	SWHC	SWRA
AMH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASW	0	0	0	0	0	0	0	0	0	0	0	0	18	13	0	21	73	0	0	7
BJSW	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	19	0	0	0
CAN	0	0	0	0	0	9	0	0	0	0	0	0	0	0	6	0	8	0	0	0
CCQ	0	0	0	0	0	12	0	0	0	0	0	0	0	0	3	0	0	0	0	0
CW	0	0	0	7	0	0	6	0	0	0	0	0	11	7	32	10	58	0	0	0
CYSR	0	0	0	12	5	70	0	0	4	0	0	0	0	6	8	14	28	0	0	5
CSWJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	20	45	0	0	0
FR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	9	0	0	0
IJSW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
JGSW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	18	0	0	0
JSP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
JSWE	0	9	0	0	0	0	0	0	0	0	0	0	0	0	18	16	58	0	7	16
PW	0	0	0	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCW	0	8	0	6	0	17	0	8	6	0	6	0	21	0	0	36	124	8	6	18
SSR	0	7	0	0	0	17	0	0	0	0	0	0	9	0	30	0	106	0	0	25
SW	0	15	0	0	0	52	0	0	9	0	0	0	33	19	58	53	0	15	43	8
SWG	0	0	2	0	0	0	0	0	0	0	0	0	9	0	9	7	40	0	9	0
SWHC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	26	0	0	0
SWRA	0	0	0	0	0	8	0	0	0	0	0	0	24	0	8	39	44	0	0	0
