	DEU	FRA	NLD	GBR	ITA	BEL	ESP	CHE	AUT	POL	SWE	CZE	NOR	IRL	HUN	DNK	PRT	SVK	FIN	ROM	GRC	SVN	LUX	BGR	LTU	EST	LVA	CYP	MLT	ISL
DEU	0	103434	78104	71401	78067	62839	37030	56286	59429	37784	26758	32057	9507	4627	20990	17116	10460	10352	9040	10361	6709	4273	5220	2958	2553	1398	1282	774	391	294
FRA	81804	0	19137	36177	42501	43135	33872	14993	4286	7504	6814	4151	2763	2442	3238	2685	5466	2337	2671	3674	3128	1432	3035	833	602	273	270	435	448	72
NLD	91099	25188	0	40634	26426	72764	14179	7988	4281	6400	9196	4048	2888	2938	3950	5856	3866	662	3682	2181	3368	517	842	711	1028	311	441	385	228	333
GBR	51108	25974	29337	0	13231	21871	14298	6843	2290	4676	8336	2544	4580	19488	1641	4999	2847	1134	2114	1420	1910	389	407	400	371	289	177	705	474	200
ITA	57851	44962	9496	22037	0	11812	22127	17969	10190	9726	4366	4897	2096	1032	3739	2816	4292	2174	1917	7171	6159	4156	552	1876	764	372	371	802	1411	116
BEL	44632	46993	42243	26347	17683	0	7933	4927	2427	4104	5709	2276	1418	1436	1927	2736	2150	679	1620	1313	2167	385	5069	482	756	187	193	177	91	53
ESP	29486	37185	9330	15494	22153	8151	0	4724	2348	3490	1818	2253	1015	882	1097	1183	23557	647	897	1303	1924	705	239	479	281	123	132	238	144	45
CHE	43552	14600	2809	9185	13540	3855	3576	0	8138	1499	1247	1353	802	1123	663	852	480	392	774	584	1043	515	152	235	61	143	162	104	143	54
AUT	45234	5876	2334	4056	11197	2442	2460	7625	0	2914	1603	4231	614	219	5414	775	383	1630	625	2539	706	2091	127	882	172	94	129	39	24	15
POL	37648	9124	6130	9388	9570	3765	4034	1239	2512	0	4342	8041	1941	425	4590	2463	466	2632	1200	2318	482	574	177	533	2065	718	878	28	26	48
SWE	17526	7474	7002	10082	4590	7325	3064	1366	1653	3263	0	1168	10807	452	794	11009	768	344	6907	352	472	178	107	133	763	1121	396	60	20	204
CZE	39246	6640	6024	6141	5938	3110	2929	2049	5547	6442	1789	0	767	255	2832	951	470	6643	802	1475	311	633	139	482	332	141	163	30	12	22
NOR	22663	6491	11177	29730	2073	4623	2412	276	769	2671	12971	1037	0	1712	29	3306	700	62	1573	117	263	39	35	11	79	238	117	9	2	354
IRL	18591	7745	5295	19745	4153	19810	4341	5629	805	1092	1943	1052	798	0	457	974	725	184	509	323	551	95	84	71	42	57	27	234	39	32
HUN	22126	4233	2855	5016	4763	1459	2388	891	4150	3057	991	2734	348	268	0	588	353	2758	335	5383	301	757	115	791	187	92	148	31	19	13
DNK	14700	3524	3612	6312	2808	1484	2222	937	601	2115	12309	772	4801	1032	649	0	416	272	1635	270	644	78	53	127	398	181	255	36	111	276
PRT	5504	5579	1909	2667	1837	1439	11319	484	529	443	510	401	257	131	148	367	0	118	402	251	146	46	75	74	18	16	12	45	9	8
SVK	12341	3841	1652	2492	3383	955	2105	491	3485	3599	1122	6505	393	69	3624	339	135	0	278	959	169	371	77	276	139	40	80	19	4	6
FIN	7979	2923	4211	3339	1921	2206	1410	812	588	1765	7814	450	1973	252	434	1370	163	162	0	233	345	90	25	126	414	1521	547	30	27	207
ROM	8860	3973	1249	1907	6185	720	1382	295	1248	1225	307	708	477	141	2281	125	159	462	134	0	607	252	17	1769	42	24	8	91	18	5
GRC	2592	811	523	1040	2490	336	713	214	182	304	197	175	43	39	107	184	142	122	182	827	0	105	8	1511	17	9	10	1616	77	3
SVN	5035	1829	382	547	2868	208	291	247	1664	683	199	531	97	17	856	235	46	247	97	413	185	0	22	200	75	25	35	9	4	3
LUX	3945	1983	859	1441	1399	2761	594	248	246	242	355	215	84	36	105	139	66	59	78	63	208	72	0	17	13	7	16	6	1	1
BGR	2302	857	259	353	2144	1002	474	102	427	333	90	176	46	14	202	69	35	99	46	1900	1375	159	4	0	51	7	19	42	4	2
LTU	1955	790	1102	851	372	323	254	51	83	1022	787	119	529	56	67	527	35	24	300	46	33	9	1	38	0	790	1900	2	1	18
EST	583	191	325	237	114	149	52	85	48	166	1682	59	423	4	17	238	12	18	1664	14	6	6	2	5	668	0	797	3	1	33
LVA	802	173	228	588	125	84	107	31	31	220	578	40	257	33	20	310	5	21	284	31	9	3	1	15	1461	705	0	2	1	16
CYP	348	46	146	160	222	86	16	5	47	34	27	39	6	4	77	31	2	9	7	83	719	1	5	37	4	2	22	0	8	0
MLT	404	481	116	257	332	104	139	11	13	45	14	15	9	15	21	13	30	4	21	29	38	3	2	34	1	1	1	134	0	7
ISL	940	150	834	546	53	89	169	64	21	93	34	58	208	13	9	101	18	14	14	4	10	12	2	1	13	3	4	0	1	0
