	Ron__1	Tom__2	Frank_3	Boyd_4	Tim__5	John_6	Jeff_7	Jay__8	Sandy_9	Jerry_10	Darrin_11	Ben_12	Arnie_13
Ron__1	0	0	1	1	1	0	0	0	0	0	0	0	0
Tom__2	1	0	1	0	0	0	0	0	0	0	1	0	0
Frank_3	1	0	0	1	0	0	0	0	0	0	1	0	0
Boyd_4	1	1	1	0	0	0	0	0	0	0	0	0	0
Tim__5	1	0	1	1	0	0	0	0	0	0	0	0	0
John_6	0	0	0	0	1	0	0	0	0	0	0	1	1
Jeff_7	0	1	0	0	0	0	0	1	1	0	0	0	0
Jay__8	0	1	0	0	0	0	1	0	1	0	0	0	0
Sandy_9	0	1	0	0	0	0	1	1	0	0	0	0	0
Jerry_10	1	0	0	0	0	1	0	0	0	0	0	0	0
Darrin_11	1	1	0	0	0	0	0	0	0	1	0	0	0
Ben_12	1	0	0	0	0	1	0	0	0	1	0	0	0
Arnie_13	0	0	0	0	1	1	0	0	0	0	0	0	0
